price,type,superficie,nombre_chambres,nombre_sdb,category,area,city
300000,Appartements,170,2,3,Location,Yoff,Dakar
850000,Appartements,120,1,2,Location,Mermoz,Dakar
2000000,Villas,304,4,4,Location,Almadies,Dakar
300000,Appartements,170,2,2,Location,Mamelles,Dakar
2000000,Appartements,400,3,5,Location,Virage,Dakar
1100000,Appartements,170,3,4,Location,Almadies,Dakar
1200000,Appartements,170,3,3,Location,Mermoz,Dakar
1600000,Appartements,170,3,5,Location,Mermoz,Dakar
800000,Appartements,170,3,3,Location,Mamelles,Dakar
1000000,Villas,170,4,4,Location,Almadies,Dakar
200000,Appartements,170,3,3,Location,Almadies 2,Dakar
1100000,Appartements,170,3,3,Location,Plateau,Dakar
1200000,Appartements,170,3,2,Location,Plateau,Dakar
2000000,Appartements,170,3,3,Location,Almadies,Dakar
2200000,Villas,170,4,5,Location,Almadies,Dakar
1346800,Appartements,230,3,4,Location,Almadies,Dakar
1400000,Villas,312,4,5,Location,Almadies,Dakar
700000,Appartements,200,3,3,Location,Ngor,Dakar
1200000,Appartements,400,3,3,Location,Amitié,Dakar
500000,Appartements,170,2,2,Location,Plateau,Dakar
1900000,Appartements,190,2,3,Location,Plateau,Dakar
250000,Appartements,150,1,3,Location,Almadies 2,Dakar
1400000,Villas,170,4,4,Location,Ouakam,Dakar
1100000,Appartements,146,2,4,Location,Plateau,Dakar
950000,Appartements,200,3,3,Location,Liberte 6,Dakar
800000,Appartements,170,2,2,Location,VDN,Dakar
350000,Appartements,152,2,3,Location,Almadies,Dakar
350000,Appartements,170,2,2,Location,Sicap foire,Dakar
1200000,Appartements,170,3,3,Location,Plateau,Dakar
1500000,Appartements,204,3,5,Location,Almadies,Dakar
800001,Appartements,170,3,3,Location,Cité keur gorgui,Dakar
300000,Appartements,170,2,2,Location,Liberte 6,Dakar
1700000,Appartements,200,3,3,Location,Dakar,Dakar
400000,Appartements,170,2,3,Location,Mamelles,Dakar
200000,Appartements,100,2,2,Location,Sicap foire,Dakar
2400000,Appartements,170,3,3,Location,Almadies,Dakar
500000,Appartements,110,2,3,Location,Almadies,Dakar
550000,Appartements,170,3,3,Location,Sacré-cœur,Dakar
250000,Appartements,150,2,3,Location,Hann maristes,Dakar
3000000,Villas,400,4,5,Location,Fann,Dakar
367000,Appartements,170,2,3,Location,Sicap baobab,Dakar
550000,Appartements,170,3,4,Location,Corniche,Dakar
450000,Appartements,170,3,3,Location,Sacré-cœur,Dakar
