Price,quartier,region,nombre_chambres,nombre_sdb,superficie,type
300000,Grand-Yoff,Dakar,2,2,,Appartement
500000,Mamelles,Dakar,3,3,,Appartement
185000,Parcelles Assainies,Dakar,1,2,55,Appartement
800000,Mermoz,Dakar,,,,Appartement
850000,Point-e,Dakar,2,2,,Appartement
150000,Golf,Dakar,1,2,,Appartement
1150000,Virage,Dakar,3,4,250,Appartement
500000,Point-e,Dakar,3,3,,Appartement
150000,Rufisque,Dakar,3,2,,Appartement
450000,Sacré-cœur,Dakar,4,5,180,Appartement
280000,Mamelles,Dakar,2,2,100,Appartement
900000,Liberte 5,Dakar,3,4,180,Appartement
1000000,Almadies,Dakar,3,5,150,Appartement
280000,Grand-Yoff,Dakar,2,2,100,Appartement
150000,Diamniadio,Dakar,3,3,,Appartement
250000,Parcelles Assainies,Dakar,2,2,,Appartement
280000,VDN,Dakar,2,2,,Appartement
1100000,Almadies,Dakar,4,4,,Appartement
300000,Mamelles,Dakar,2,2,,Appartement
1000000,Sicap foire,Dakar,4,150 m²,,Appartement
275000,Hann maristes,Dakar,2,2,100,Appartement
600000,Hann maristes,Dakar,1,1,100,Appartement
300000,Sacré-cœur,Dakar,2,2,,Appartement
600000,Liberte 6,Dakar,,,,Appartement
300000,Virage,Dakar,2,3,,Appartement
700000,Mamelles,Dakar,3,4,150,Appartement
932400,Ngor,Dakar,3,3,150,Appartement
1800000,Mamelles,Dakar,7,11,300,Appartement
275000,Sicap foire,Dakar,2,2,,Appartement
2000000,Fann,Dakar,3,4,,Appartement
1500000,Mermoz,Dakar,3,4,,Appartement
350000,Yoff,Dakar,3,2,,Appartement
50000,Ouakam,Dakar,1,2,,Appartement
160000,Almadies 2,Dakar,1,1,80,Appartement
140000,Zac Mbao,Dakar,2,1,80,Appartement
550000,Mamelles,Dakar,3,4,,Appartement
400000,Mamelles,Dakar,1,2,,Appartement
350000,Sicap foire,Dakar,2,2,,Appartement
750000,Virage,Dakar,4,3,,Appartement
850000,Sicap Sacré-cœur,Dakar,6,5,,Appartement
650000,Liberte 6 extension,Dakar,3,4,,Appartement
550000,Cité biagui,Dakar,3,3,,Appartement
1600000,Mermoz,Dakar,3,4,,Appartement
1500000,Mermoz,Dakar,3,4,,Appartement
1000000,Plateau,Dakar,3,3,,Appartement
1300000,Almadies,Dakar,3,3,,Appartement
1500000,Virage,Dakar,3,4,,Appartement
750000,Virage,Dakar,3,,,Appartement
550000,Corniche,Dakar,3,4,,Appartement
1600000,Virage,Dakar,,,,Appartement
1000000,Fann,Dakar,3,3,200,Appartement
1300000,Almadies,Dakar,4,4,,Appartement
180000,Fass,Dakar,1,,,Appartement
1100000,Plateau,Dakar,,,,Appartement
1300000,Point-e,Dakar,3,3,190,Appartement
250000,Mamelles,Dakar,2,2,100,Appartement
425000,Almadies,Dakar,2,2,,Appartement
550000,Almadies,Dakar,2,3,,Appartement
1200000,Fann,Dakar,,,,Appartement
800000,Zone de captage,Dakar,,,,Appartement
2000000,Mermoz,Dakar,,,,Appartement
1000000,Plateau,Dakar,,,,Appartement
2000000,Almadies,Dakar,3,3,241,Appartement
950000,Fann,Dakar,3,3,200,Appartement
474500,VDN,Dakar,2,3,120,Appartement
750000,Mermoz,Dakar,3,4,170,Appartement
230000,Cite Mixta,Dakar,,,,Appartement
395000,Cité keur gorgui,Dakar,2,2,,Appartement
6000000,Fann,Dakar,4,6,514,Appartement
400000,Sacré-cœur,Dakar,3,3,,Appartement
300000,VDN,Dakar,3,4,,Appartement
500000,Cité keur gorgui,Dakar,4,,,Appartement
850000,Ngor,Dakar,4,200 m²,,Appartement
850000,Almadies,Dakar,3,4,150,Appartement
550000,Ouakam,Dakar,3,3,180,Appartement
2000000,Almadies,Dakar,4,4,304,Appartement
500000,Mamelles,Dakar,3,185 m²,,Appartement
275000,Fass,Dakar,1,,,Appartement
300000,Yoff,Dakar,2,,,Appartement
250000,Nord foire,Dakar,2,3,,Appartement
375000,Mamelles,Dakar,2,100 m²,,Appartement
400000,Dakar,Dakar,2,3,,Appartement
500000,Almadies,Dakar,2,3,150,Appartement
1200000,Point-e,Dakar,3,3,200,Appartement
600000,Mamelles,Dakar,3,4,200,Appartement
280000,Hlm grand-yoff,Dakar,2,2,120,Appartement
3300000,Fann,Dakar,4,6,260,Appartement
1400000,Plateau,Dakar,3,3,,Appartement
400000,Yoff,Dakar,3,,,Appartement
350000,Ouakam,Dakar,3,250 m²,,Appartement
1200000,Almadies,Dakar,3,3,,Appartement
1100000,Virage,Dakar,4,4,244,Appartement
1200000,Point-e,Dakar,3,3,156,Appartement
1250000,Point-e,Dakar,4,3,271,Appartement
1010000,Almadies,Dakar,3,3,202,Appartement
2500000,Fann,Dakar,4,5,300,Appartement
1100000,Point-e,Dakar,3,2,123,Appartement
325000,Hann maristes,Dakar,4,,,Appartement
800000,Point-e,Dakar,3,2,123,Appartement
650000,Almadies,Dakar,3,200 m²,,Appartement
850000,Mermoz,Dakar,1,2,120,Appartement
1400000,Almadies,Dakar,3,4,226,Appartement
500000,VDN,Dakar,3,3,,Appartement
350000,Almadies,Dakar,1,1,,Appartement
550000,Amitié,Dakar,3,4,,Appartement
320000,VDN,Dakar,3,3,,Appartement
3000000,Fann,Dakar,3,4,250,Appartement
1100000,Plateau,Dakar,2,4,146,Appartement
2500000,Almadies,Dakar,,,,Appartement
,Mermoz,Dakar,3,4,212,Appartement
400000,Mermoz,Dakar,1,50 m²,,Appartement
1400000,Almadies,Dakar,3,3,,Appartement
425000,Virage,Dakar,2,2,,Appartement
1200000,Plateau,Dakar,,,,Appartement
1,Plateau,Dakar,,,,Appartement
650000,VDN,Dakar,3,4,,Appartement
850000,Mamelles,Dakar,3,3,,Appartement
450000,Ouest foire,Dakar,3,3,,Appartement
500000,Plateau,Dakar,2,2,,Appartement
850000,Sacré-cœur,Dakar,4,5,,Appartement
160000,Keur ndiaye lô,Dakar,2,150 m²,,Appartement
270000,Ouest foire,Dakar,1,2,,Appartement
750000,Almadies,Dakar,3,3,,Appartement
1000000,Almadies,Dakar,3,4,140,Appartement
400000,Ouakam,Dakar,4,3,100,Appartement
600000,Cité keur gorgui,Dakar,2,4,183,Appartement
1200000,Point-e,Dakar,2,100 m²,,Appartement
600000,Almadies,Dakar,3,4,,Appartement
850000,Plateau,Dakar,2,100 m²,,Appartement
900000,Mermoz,Dakar,3,3,200,Appartement
700000,Almadies,Dakar,2,250 m²,,Appartement
621600,Mamelles,Dakar,3,3,,Appartement
500000,Cité keur gorgui,Dakar,3,2,,Appartement
350000,Ouakam,Dakar,2,100 m²,,Appartement
350000,Almadies,Dakar,,,,Appartement
250000,Almadies 2,Dakar,1,150 m²,,Appartement
550000,Virage,Dakar,3,3,,Appartement
1300000,Ngor,Dakar,5,4,250,Appartement
,Point-e,Dakar,3,3,,Appartement
,Point-e,Dakar,4,4,306,Appartement
700000,Virage,Dakar,3,2,1,Appartement
850000,Mermoz,Dakar,3,3 m²,,Appartement
1300000,Virage,Dakar,3,5,200,Appartement
650000,Sacré-cœur,Dakar,3,3,200,Appartement
250000,Ouest foire,Dakar,1,1,,Appartement
1000000,Point-e,Dakar,3,2,,Appartement
750000,Mamelles,Dakar,3,3,169,Appartement
320000,Ngor,Dakar,2,2,,Appartement
1300000,Almadies,Dakar,4,4,300,Appartement
550000,Mamelles,Dakar,3,,,Appartement
1750000,Fann,Dakar,2,,,Appartement
125000,Mbao,Dakar,2,2,,Appartement
650000,Cité keur gorgui,Dakar,3,3,,Appartement
950000,Point-e,Dakar,3,4,,Appartement
450000,Mamelles,Dakar,2,3,,Appartement
400000,Almadies,Dakar,2,3,,Appartement
200000,Médina,Dakar,1,1,100,Appartement
700000,Mermoz,Dakar,,,,Appartement
275000,Mermoz,Dakar,2,2,,Appartement
300000,Ngor,Dakar,,,,Appartement
475000,Djily mbaye,Dakar,3,3,,Appartement
400000,Almadies,Dakar,,,,Appartement
350000,Mamelles,Dakar,3,2,,Appartement
,Almadies,Dakar,3,3,200,Appartement
800000,Yoff,Dakar,3,3,210,Appartement
400000,Mamelles,Dakar,3,4,150,Appartement
300000,Mamelles,Dakar,2,3,,Appartement
,Mamelles,Dakar,3,2,210,Appartement
,Sacré-cœur,Dakar,3,4,210,Appartement
1,Ouest foire,Dakar,,,,Appartement
650000,Dieuppeul,Dakar,3,4,,Appartement
3800000,Mamelles,Dakar,,,,Appartement
2400000,Almadies,Dakar,,,,Appartement
1500000,Almadies,Dakar,,,,Appartement
2590000,Almadies,Dakar,,,,Appartement
350000,Liberte 6 extension,Dakar,,,,Appartement
750000,Virage,Dakar,3,4,,Appartement
350000,Mamelles,Dakar,,,,Appartement
1500000,Fann,Dakar,3,3,,Appartement
120000,Keur Massar,Dakar,2,2,,Appartement
1100000,Point-e,Dakar,3,4,,Appartement
185000,Liberte 6,Dakar,1,1,80,Appartement
500000,Cité keur gorgui,Dakar,3,,,Appartement
400000,Sacré-cœur,Dakar,2,3,,Appartement
180000,Ouest foire,Dakar,1,2,,Appartement
650000,Cité keur gorgui,Dakar,2,4,,Appartement
1000000,Almadies,Dakar,3,5,250,Appartement
800000,Virage,Dakar,3,3,160,Appartement
500000,Mamelles,Dakar,3,2,,Appartement
35000,Mamelles,Dakar,1,55 m²,,Appartement
550000,Mamelles,Dakar,3,4,150,Appartement
1350000,Fann,Dakar,1,2,144,Appartement
1350000,Point-e,Dakar,3,3,250,Appartement
2500000,Fann,Dakar,,,,Appartement
1300000,Ngor,Dakar,3,3,,Appartement
700000,VDN,Dakar,3,,,Appartement
160000,Zac Mbao,Dakar,2,2,140,Appartement
2000000,Avenue Bourguiba,Dakar,6,5,22,Appartement
150000,VDN,Dakar,1,1,100,Appartement
600000,Almadies,Dakar,3,4,200,Appartement
1500000,Point-e,Dakar,3,,,Appartement
1760000,VDN,Dakar,160 m²,,,Appartement
425600,VDN,Dakar,2,2,,Appartement
900000,Mermoz,Dakar,3,3,,Appartement
1300000,Mermoz,Dakar,3,3,,Appartement
1800000,Point-e,Dakar,3,3,,Appartement
1200000,Point-e,Dakar,3,3,,Appartement
1500000,Point-e,Dakar,3,3,,Appartement
450000,Sicap baobab,Dakar,3,3,,Appartement
300000,Hann maristes,Dakar,2,2,100,Appartement
500000,Hann maristes,Dakar,3,2,100,Appartement
500000,Sacré-cœur,Dakar,3,3,250,Appartement
2800000,Plateau,Dakar,6,250 m²,,Appartement
1200000,Ngor,Dakar,3,4,187,Appartement
1000000,Ngor,Dakar,3,4,175,Appartement
1250000,Ngor,Dakar,4,5,340,Appartement
1400000,Almadies,Dakar,4,5,312,Appartement
950000,Virage,Dakar,3,200 m²,,Appartement
3500000,Fann,Dakar,4,3,,Appartement
1200000,Mermoz,Dakar,4,4,,Appartement
1000000,Mermoz,Dakar,3,2,,Appartement
275000,Hlm,Dakar,2,2,,Appartement
900000,Mamelles,Dakar,3,4,177,Appartement
800000,Ngor,Dakar,2,2,103,Appartement
850000,Point-e,Dakar,3,2,145,Appartement
1290000,Virage,Dakar,4,4,280,Appartement
500000,Almadies,Dakar,2,100 m²,,Appartement
280000,Liberte 6 extension,Dakar,1,70 m²,,Appartement
900000,Ouakam,Dakar,3,3,,Appartement
450000,Mamelles,Dakar,2,3,150,Appartement
750000,Mamelles,Dakar,3,3,164,Appartement
1000000,Ngor,Dakar,3,3,,Appartement
600000,Mamelles,Dakar,2,2,,Appartement
400000,Mamelles,Dakar,3,3,,Appartement
350000,Almadies,Dakar,1,1,200,Appartement
3000000,Ngor,Dakar,5,6,480,Appartement
750000,Ngor,Dakar,3,3,180,Appartement
550000,Mermoz,Dakar,3,3,,Appartement
500000,Almadies,Dakar,2,2,,Appartement
1000000,Almadies,Dakar,4,4,,Appartement
600000,Almadies,Dakar,3,3,,Appartement
1500000,Mamelles,Dakar,4,4,,Appartement
1100000,Fann,Dakar,2,,,Appartement
225000,Nord foire,Dakar,3,2,100,Appartement
850000,Sacré-cœur,Dakar,6,5,,Appartement
1400000,Point-e,Dakar,3,230 m²,,Appartement
1100000,Almadies,Dakar,3,4,,Appartement
400000,Liberte 6 extension,Dakar,3,2,,Appartement
290000,Sacré-cœur,Dakar,2,2,,Appartement
600000,Mamelles,Dakar,3,3,,Appartement
2300000,Sacré-cœur,Dakar,4,4,253,Appartement
2300000,Plateau,Dakar,3,5,250,Appartement
250000,Ouakam,Dakar,2,2,,Appartement
325000,Sacré-cœur,Dakar,2,2,,Appartement
1800000,Almadies,Dakar,3,4,210,Appartement
400000,Bel air,Dakar,,,,Appartement
200000,Ouest foire,Dakar,2,1,100,Appartement
2600000,Point-e,Dakar,4,6,400,Appartement
450000,Mamelles,Dakar,2,3,,Appartement
400000,Liberte 3,Dakar,2,,,Appartement
600000,Sacré-cœur,Dakar,3,5,300,Appartement
400000,Mamelles,Dakar,2,3,,Appartement
700000,Point-e,Dakar,3,4,150,Appartement
950000,Liberte 6,Dakar,3,200 m²,,Appartement
950000,Liberte 6,Dakar,3,200 m²,,Appartement
175000,Mbao,Dakar,3,2,175,Appartement
500000,Almadies,Dakar,3,3,,Appartement
600000,Almadies,Dakar,3,3,200,Appartement
3000000,Fann,Dakar,4,5,320,Appartement
6,Virage,Dakar,4,,,Appartement
500000,Mamelles,Dakar,,,,Appartement
1700000,Almadies,Dakar,3,4,,Appartement
1600000,Point-e,Dakar,3,4,200,Appartement
1000000,Virage,Dakar,3,3,200,Appartement
130000000,Virage,Dakar,5,4,170,Appartement
300000,Ouest foire,Dakar,2,2,130,Appartement
650000,Mermoz,Dakar,3,4,200,Appartement
800000,Cité keur gorgui,Dakar,,,,Appartement
750000,Liberte 6,Dakar,3,4,,Appartement
900000,Almadies,Dakar,3,2,,Appartement
1700000,Fann,Dakar,3,3,200,Appartement
1600000,Almadies,Dakar,800 m²,,,Appartement
450000,Almadies,Dakar,3,2,150,Appartement
300000,Fass,Dakar,2,,,Appartement
