feature,importance
sqrt_superficie,0.17131814
log_superficie,0.06415149
superficie,0.06337772
type_bien_villas,0.05769898
is_villa,0.055883616
total_pieces,0.05339671
type_bien_bureaux_&_commerces,0.031947576
area_fann,0.028248444
nombre_sdb,0.022415029
area_point_e,0.021799266
nombre_chambres,0.018844755
area_dakar_plateau,0.017771285
area_mermoz-sacré_coeur,0.01750471
villa_large,0.016422644
is_dakar,0.015749723
area_mbao,0.0149468575
is_premium_area,0.013336612
city_diamniadio,0.011808967
area_keur_massar,0.0106765805
area_diamniadio,0.010527778
area_hann_bel-air,0.010282587
area_plateau,0.009662427
city_ngaparou,0.009252565
area_sipres,0.008520986
area_sicap_liberté,0.00834764
city_keur_massar,0.0083025135
city_thies,0.008204939
type_bien_chambres,0.00812718
area_mermoz,0.008107516
area_virage,0.0080152005
area_ouest_foire,0.007538917
area_rufisque,0.007499318
area_mbour,0.0072616087
density,0.007187135
area_saly,0.0071376557
surface_par_chambre,0.007006107
city_saly,0.006937697
area_almadies_2,0.0068304907
area_mariste,0.006803744
ratio_sdb_chambres,0.00676359
area_cambérène,0.0065742624
area_ouakam,0.0063334345
area_ngaparou,0.0063286307
area_sacré-coeur,0.0059875874
spacious,0.005917628
city_rufisque,0.0058348915
area_mamelles,0.0058119893
area_ngor,0.0056900843
area_guediawaye,0.0054532266
city_mbour,0.0051524434
superficie_squared,0.0049424823
area_thies,0.0049333274
area_parcelle_assainies,0.004735998
area_hlm,0.004717057
area_sicap_foire,0.0045326487
high_bathroom_ratio,0.004253143
area_yoff,0.004103919
area_pikine,0.004073063
area_damel,0.0037799582
area_diamalaye_1,0.0034671228
area_djily_mbaye,0.0034309274
area_dieuppeul-derklé,0.003073112
area_amitié,0.0027356597
area_grand_yoff,0.0026148576
area_grand_dakar,0.0026123703
area_sacré-cœur,0.002480542
area_vdn,0.0024669582
area_patte_d'oie,0.0023459361
area_sendou,0.0
area_saint_louis,0.0
area_sicap_baobab,0.0
area_sicap_sacré-cœur,0.0
area_sud_foire,0.0
area_tambacounda,0.0
area_tivaouane_peulh,0.0
area_toubab_dialao,0.0
area_zac_mbao,0.0
area_zone_de_captage,0.0
city_kolda,0.0
city_mboro,0.0
city_ndiass,0.0
city_toubab_dialao,0.0
area_ziguinchor,0.0
area_liberte_5,0.0
area_patte_d‘oie,0.0
area_grand-dakar,0.0
area_fenêtre_mermoz,0.0
area_fatick,0.0
area_fass,0.0
area_corniche,0.0
area_colobane,0.0
area_cité_keur_gorgui,0.0
area_cite_mixta,0.0
area_chambres,0.0
area_biscuiterie,0.0
area_bel_air,0.0
area_bambey,0.0
type_bien_terrains_agricoles,0.0
type_bien_fermes_&_vergers,0.0
appt_petit,0.0
is_location,0.0
area_golf,0.0
area_gueule_tapée,0.0
area_parcelles_assainies,0.0
area_hann_maristes,0.0
area_nord_foire,0.0
area_nguering,0.0
area_ndiass,0.0
area_médina,0.0
area_medina,0.0
area_mboro,0.0
area_m'bour,0.0
area_liberte_6_extension,0.0
area_liberte_6,0.0
area_liberte_3,0.0
area_liberte_1,0.0
area_kolda,0.0
area_keur_ndiaye_lô,0.0
area_hlm_grand_yoff,0.0
area_hlm_grand_médine,0.0
city_ziguinchor,0.0
