feature,importance
type_bien_fermes_&_vergers,0.59709096
type_bien_terrains_agricoles,0.25291178
total_pieces,0.014081846
area_dakar_plateau,0.010982002
sqrt_superficie,0.010546752
nombre_chambres,0.009487772
area_ziguinchor,0.0074848267
superficie,0.00713211
area_thies,0.0064664036
log_superficie,0.00510591
type_bien_villas,0.004570828
is_villa,0.0045677917
is_dakar,0.0034676793
type_bien_bureaux_&_commerces,0.003231789
area_ngor,0.0031919326
area_fann,0.0028334465
area_ouakam,0.002562605
area_ndiass,0.0018486513
area_point_e,0.0017946243
area_keur_massar,0.0017666045
city_mbour,0.0017603468
area_mermoz-sacré_coeur,0.0016569138
area_sicap_liberté,0.0015245412
nombre_sdb,0.0014267043
area_mbao,0.0013872106
area_damel,0.0013701002
city_diamniadio,0.0013509928
city_keur_massar,0.0013449615
city_ndiass,0.0013297444
area_diamniadio,0.0013139204
area_patte_d'oie,0.0012846488
is_premium_area,0.0012590797
area_yoff,0.0012092011
city_rufisque,0.0011782574
area_sacré-coeur,0.001164763
area_ngaparou,0.0011605887
area_virage,0.001123789
area_toubab_dialao,0.0010739475
area_plateau,0.0010206104
density,0.0010021243
area_hann_bel-air,0.0009796892
area_mariste,0.0009475398
area_saly,0.0009143163
area_colobane,0.0009099477
villa_large,0.0008872533
ratio_sdb_chambres,0.00085809105
city_toubab_dialao,0.00085737766
surface_par_chambre,0.0008534275
area_ouest_foire,0.0007694186
area_sicap_foire,0.0007501019
area_sipres,0.0007425926
area_mbour,0.00073845446
area_mamelles,0.0007223776
area_rufisque,0.0007016352
area_almadies_2,0.00069340836
high_bathroom_ratio,0.0006880487
city_ngaparou,0.000680198
city_thies,0.00063043326
area_cambérène,0.00061703677
area_mermoz,0.00061243365
area_fenêtre_mermoz,0.000551587
area_hlm,0.0005055605
area_fass,0.0004749321
city_ziguinchor,0.00047181765
city_saly,0.00046127674
area_guediawaye,0.0004578298
area_pikine,0.0004485988
city_kolda,0.00040354335
area_parcelle_assainies,0.0003914338
area_grand_yoff,0.00037990834
area_dieuppeul-derklé,0.00034846578
area_diamalaye_1,0.0003178906
area_djily_mbaye,0.00030335525
area_amitié,0.0002979343
area_biscuiterie,0.00029760326
area_nord_foire,0.0002911556
area_m'bour,0.00025341453
area_nguering,0.00025213844
area_kolda,0.000238489
area_chambres,0.00013768738
spacious,5.917743e-05
appt_petit,3.3557073e-05
city_mboro,0.0
area_cité_keur_gorgui,0.0
superficie_squared,0.0
is_location,0.0
area_tambacounda,0.0
area_corniche,0.0
area_tivaouane_peulh,0.0
area_cite_mixta,0.0
area_vdn,0.0
area_zone_de_captage,0.0
area_bambey,0.0
area_zac_mbao,0.0
area_bel_air,0.0
type_bien_chambres,0.0
area_sud_foire,0.0
area_sendou,0.0
area_sicap_sacré-cœur,0.0
area_hann_maristes,0.0
area_liberte_6,0.0
area_mboro,0.0
area_liberte_3,0.0
area_medina,0.0
area_liberte_1,0.0
area_médina,0.0
area_keur_ndiaye_lô,0.0
area_hlm_grand_yoff,0.0
area_hlm_grand_médine,0.0
area_gueule_tapée,0.0
area_sicap_baobab,0.0
area_parcelles_assainies,0.0
area_patte_d‘oie,0.0
area_grand_dakar,0.0
area_grand-dakar,0.0
area_golf,0.0
area_sacré-cœur,0.0
area_saint_louis,0.0
area_fatick,0.0
area_liberte_6_extension,0.0
area_liberte_5,0.0
