feature,importance
total_pieces,0.06422904
is_dakar,0.05031731
log_superficie,0.042884186
is_premium_area,0.038932376
nombre_sdb,0.03803453
superficie,0.03658152
area_mamelles,0.036375362
villa_large,0.03337352
sqrt_superficie,0.03194681
superficie_squared,0.027873421
area_colobane,0.026915837
area_mbao,0.023430336
area_hann_bel-air,0.021027025
type_bien_villas,0.015366396
area_fann,0.015299456
area_lac_rose,0.015265522
ratio_sdb_chambres,0.015149705
area_almadies_2,0.014679983
area_diamalaye_2,0.014659876
area_point_e,0.013874112
nombre_chambres,0.013821617
area_saint_louis,0.013699626
area_ndiass,0.013447626
area_grand_dakar,0.013374565
city_lac_rose,0.013169499
area_mermoz-sacré_coeur,0.013139842
is_villa,0.013113477
area_ngor,0.013102108
city_ndiass,0.012497023
area_yoff,0.0122507345
area_malikounda,0.011860995
area_cambérène,0.011476683
area_guediawaye,0.010194162
density,0.0099824015
area_mbour,0.009616575
area_ngaparou,0.009460666
type_bien_bureaux_&_commerces,0.009422184
area_sacré-coeur,0.009404111
area_pikine,0.009106141
city_saly,0.0089636035
area_dakar_plateau,0.008962434
city_keur_massar,0.0086551905
area_fatick,0.008618359
city_mbour,0.008196101
area_keur_massar,0.008184348
surface_par_chambre,0.008119316
area_rufisque,0.007936343
area_sicap_liberté,0.0073014544
city_ngaparou,0.0072380058
city_thies,0.006686255
area_sicap_foire,0.0065589244
area_biscuiterie,0.0065392177
area_patte_d'oie,0.0063946242
city_rufisque,0.0063759796
type_bien_terrains_agricoles,0.0062019476
city_toubab_dialao,0.005859822
area_grand_yoff,0.0055305124
area_dieuppeul-derklé,0.0055251657
area_toubab_dialao,0.005414239
area_ouakam,0.0053956592
area_sipres,0.005385811
area_hlm,0.005242254
area_thies,0.004953431
area_saly,0.004631667
spacious,0.0045875576
type_bien_fermes_&_vergers,0.0045580966
area_damel,0.0032005876
high_bathroom_ratio,0.0028819249
area_ouest_foire,0.0027724311
area_medina,0.0027334199
city_ziguinchor,0.0024818568
area_diamniadio,0.0023786775
city_diamniadio,0.0022453333
area_ziguinchor,0.0020009244
appt_petit,0.0010723983
area_touba,0.0007968949
city_mboro,0.00074389175
area_lompoul,0.00031901168
area_parcelle_assainies,0.0
city_louga,0.0
is_location,0.0
type_bien_chambres,0.0
area_diamalaye_1,0.0
city_niaga,0.0
area_diourbel,0.0
area_djida_thiaroye_kaw,0.0
area_fass,0.0
area_djily_mbaye,0.0
area_niaga,0.0
area_gueule_tapée,0.0
area_guédiawaye,0.0
area_kaffrine,0.0
area_tambacounda,0.0
area_louga,0.0
area_mariste,0.0
area_mboro,0.0
area_kébémer,0.0
