feature,importance
total_pieces,0.09824643
nombre_sdb,0.09229484
villa_large,0.08795419
log_superficie,0.066331744
superficie_squared,0.062170625
superficie,0.060187966
sqrt_superficie,0.048113476
nombre_chambres,0.046227787
is_dakar,0.040768538
is_premium_area,0.03330448
ratio_sdb_chambres,0.032188956
area_mamelles,0.03010749
area_mbao,0.025216166
area_point_e,0.023783812
city_saly,0.02042428
is_villa,0.019759376
area_mermoz-sacré_coeur,0.019688021
type_bien_bureaux_&_commerces,0.019340731
density,0.017491773
area_rufisque,0.017368553
surface_par_chambre,0.0172453
area_sicap_liberté,0.015216996
high_bathroom_ratio,0.013821477
city_keur_massar,0.012820702
area_yoff,0.012494718
type_bien_villas,0.011846538
type_bien_terrains_agricoles,0.01142054
area_keur_massar,0.01136317
type_bien_fermes_&_vergers,0.009379569
area_thies,0.009246708
area_saly,0.007387185
area_mbour,0.0067877676
city_ngaparou,0.0
area_pikine,0.0
city_toubab_dialao,0.0
area_patte_d'oie,0.0
area_ouest_foire,0.0
area_parcelle_assainies,0.0
area_ouakam,0.0
area_niaga,0.0
city_rufisque,0.0
area_ngor,0.0
area_ngaparou,0.0
city_thies,0.0
area_saint_louis,0.0
area_sacré-coeur,0.0
city_ndiass,0.0
area_sicap_foire,0.0
city_niaga,0.0
area_tambacounda,0.0
area_touba,0.0
area_toubab_dialao,0.0
area_ziguinchor,0.0
city_diamniadio,0.0
area_ndiass,0.0
city_lac_rose,0.0
city_louga,0.0
city_mboro,0.0
city_mbour,0.0
area_sipres,0.0
area_kébémer,0.0
area_medina,0.0
area_mboro,0.0
area_diourbel,0.0
area_dieuppeul-derklé,0.0
area_diamniadio,0.0
area_diamalaye_2,0.0
area_diamalaye_1,0.0
area_damel,0.0
area_dakar_plateau,0.0
area_colobane,0.0
area_cambérène,0.0
area_biscuiterie,0.0
area_almadies_2,0.0
type_bien_chambres,0.0
spacious,0.0
appt_petit,0.0
is_location,0.0
area_djida_thiaroye_kaw,0.0
area_djily_mbaye,0.0
area_fann,0.0
area_hlm,0.0
area_mariste,0.0
area_malikounda,0.0
area_louga,0.0
area_lompoul,0.0
area_lac_rose,0.0
area_kaffrine,0.0
area_hann_bel-air,0.0
area_fass,0.0
area_guédiawaye,0.0
area_gueule_tapée,0.0
area_guediawaye,0.0
area_grand_yoff,0.0
area_grand_dakar,0.0
area_fatick,0.0
city_ziguinchor,0.0
